contact,latitude,longitude,area,rent,competitors,exposure,population
gkovacs@gmail.com,47.55378217650272,19.03691894009644,385,160000,6,0.557765038334312,433
vbalazs@yahoo.com,47.53249879654467,19.03348478240265,726,195000,0,0.4316300954328703,498
rbalint@tith.com,47.538111182380774,19.03037118305419,506,263000,5,0.597697641344868,339
ildikinagy@nagy.hu,47.53553331819354,19.024320951073793,390,180000,4,0.5479950150079678,863
hkovacs@gmail.com,47.51562320977699,19.023056403531697,632,157000,4,0.3855302255602312,675
adriennszucs@yahoo.com,47.545604909725576,19.030985659699116,505,170000,4,0.5965598568203571,923
horvathkatalin@horvath.biz,47.55825714170537,19.027552109822214,569,376000,1,0.4523814462193186,229
djakab@biri.net,47.527067707114526,19.019714126343544,685,310000,4,0.4668754264615882,343
ilonapapp@gmail.com,47.564429222538024,19.035621175532288,801,362000,2,0.40233471359094636,949
zoltanfulop@varga.com,47.54055389685511,19.034089046966013,748,231000,3,0.5852011268734038,441
bela14@kerekes.com.hu,47.562846040462674,19.01852361548562,381,388000,0,0.427307648271479,483
raczkatalin@balog.com,47.56615429015863,19.025885356218044,413,344000,6,0.6005104444603531,96
peter45@racz.hu,47.563218728072556,19.025595174026424,835,288000,2,0.5474274366364733,1099
vargazsolt@nagy.hu,47.547342209246246,19.021471942457268,575,204000,3,0.4747988943520415,910
balazs34@hotmail.com,47.55776905884373,19.0214358310958,603,231000,4,0.4529973794070055,648
pasztorjizsef@meszaros.hu,47.536998493635274,19.031011780326363,532,233000,4,0.38491851746103956,347
nagyfanni@molnar.info,47.5334800632158,19.02158273847996,693,259000,6,0.41765350194906137,275
laszlimolnar@hotmail.com,47.56609072405667,19.02714401213254,452,327000,3,0.5987036978564351,258
szabierzsebet@hotmail.com,47.54580813286392,19.028945033003932,436,254000,5,0.4492992557714432,872
jolantith@varadi.hu,47.53607330100299,19.03619672491958,712,354000,2,0.4245317749399362,804
jszabi@novak.com.hu,47.51592255360974,19.027658921376325,445,159000,2,0.6440508306517553,914
bernadettkovacs@bogdan.biz,47.51622264593208,19.017795807773265,458,280000,2,0.6153425034966944,475
petertakacs@olah.org,47.53489929397721,19.034679757307426,492,190000,5,0.5000551368615869,530
magdolnaracz@virag.net,47.53899173233603,19.022756816651892,653,244000,5,0.6182227425370346,653
attiladudas@yahoo.com,47.54953666839099,19.019715180554062,470,215000,2,0.6350809860062878,244
aniki76@balazs.biz,47.54572733894906,19.019870709788638,748,306000,5,0.5317983176551555,708
beatrix02@kovacs.hu,47.565059968968754,19.02609819398903,481,245000,1,0.5245639273465142,710
obalogh@szabi.com,47.52788642955054,19.02646418993726,834,266000,1,0.5971780126399178,747
viktiriagulyas@orsis.hu,47.56292365560462,19.02455791200528,569,185000,3,0.5070202363465625,644
olahroland@yahoo.com,47.5509577386338,19.0365447286705,522,311000,2,0.5957272255110736,661
spapp@hotmail.com,47.53104102004527,19.01716641888022,391,283000,0,0.3513434902363643,718
asipos@molnar.hu,47.54439114649841,19.02527113422083,747,378000,2,0.4570169441780062,358
zsolt57@yahoo.com,47.553655607740254,19.020936918787736,390,285000,4,0.5825469414244593,442
csaba36@hotmail.com,47.55707199365994,19.019354019068565,382,249000,2,0.3889509161542772,695
margitszabi@pap.org,47.53786227373989,19.035006828424304,359,309000,3,0.3871438663633096,595
farkaseva@gmail.com,47.54992882523631,19.032398954265414,819,393000,3,0.4838152792465248,250
laszli78@balogh.org,47.53828341783437,19.037639772797842,832,352000,1,0.6475743982558916,611
osimon@yahoo.com,47.53890347360571,19.024037591025817,383,296000,0,0.591388791251233,348
margitnemeth@gmail.com,47.530887778653614,19.018426185054334,610,287000,1,0.44386371456707,472
krisztina06@fekete.org,47.52676493870679,19.026486442361133,807,312000,3,0.6243987961914494,347
szekeresimre@hotmail.com,47.55823639382243,19.02246751168658,358,344000,5,0.4350921761712323,619
sandorhorvath@hotmail.com,47.5227747543639,19.029863219457667,611,289000,6,0.4760099767561704,898
kissmartin@yahoo.com,47.54598163842648,19.018448191345254,675,310000,5,0.38222260166473154,512
szabizoltan@yahoo.com,47.522716773520486,19.03420646947606,625,320000,1,0.5061566870597828,505
nfabian@yahoo.com,47.52477350714205,19.036484835324153,535,361000,3,0.4922989635903984,170
timeanemeth@yahoo.com,47.556998414470584,19.01975616397305,424,322000,2,0.41135952738343984,226
nemethluca@gmail.com,47.55780682806697,19.031280372288773,526,281000,5,0.4868179762252034,651
bertalanolah@szekeres.net,47.53544492089901,19.0188618631863,847,171000,2,0.5257683059945786,108
zsomborlakatos@hotmail.com,47.55245177046906,19.01818334978333,454,213000,2,0.4628181408688764,583
danielnagy@molnar.biz,47.531737604667256,19.023764845428097,562,172000,6,0.4248528664454615,918
kelemenzsuzsanna@szabi.hu,47.51687803172055,19.033842121011833,372,326000,1,0.4436552758671927,341
endre02@nemeth.info,47.520268608000286,19.037172839563183,654,352000,6,0.49588897535867105,783
snemeth@tith.info,47.56026174285091,19.030851123184288,483,221000,2,0.4287405470315138,247
maria02@molnar.com,47.55787524828262,19.025212778685553,510,338000,5,0.5104796596364743,141
tithagnes@szabi.biz,47.53335086316668,19.037904579854352,836,338000,1,0.3540123204794846,797
qnovak@szabi.info,47.5388024270582,19.032406795424723,821,314000,2,0.6313794793691125,827
laszlikiss@kovacs.com,47.52017390550071,19.025876447562553,726,197000,3,0.5712288459156657,467
agaspar@pal.biz,47.55728870773273,19.019879505146594,636,165000,4,0.354406962071404,166
nagyjulianna@varga.net,47.52988123090416,19.02476636496402,713,240000,5,0.4281917993652132,751
tithtamas@yahoo.com,47.53960350764994,19.020344334717503,708,225000,2,0.4693536370394378,416
wkiss@takacs.net,47.564508428373735,19.03519388378332,631,180000,3,0.5416929385559092,473
yvarga@balogh.biz,47.53673993618183,19.03059175078723,540,239000,4,0.41488275450305123,536
rszabi@szabi.org,47.54586583364773,19.03169503540183,639,382000,0,0.6103792773503292,554
maria75@orosz.info,47.55903571607515,19.03643245423792,489,195000,2,0.5798095032168025,115
zhorvath@szabi.hu,47.52789109863942,19.019917578832192,431,321000,5,0.6462606363479021,863
eva53@gmail.com,47.55782185362369,19.021943949063743,808,360000,3,0.448391819852434,275
feherzsolt@molnar.info,47.52414490616822,19.01946111657512,390,302000,2,0.49746890328255505,877
kovacserik@yahoo.com,47.53366884204238,19.017178789690526,592,389000,6,0.40900506443785456,146
hkatona@yahoo.com,47.56118809910857,19.033448825190508,570,368000,0,0.3624613382590525,761
jkocsis@hotmail.com,47.544045347251995,19.031000627401113,468,176000,1,0.6454382837314421,642
riza37@hotmail.com,47.527819222441906,19.026328805774085,504,364000,3,0.3957864357826138,361
laszliszabi@boros.net,47.5192642911213,19.025132891025343,546,214000,4,0.5599706391998783,522
imeszaros@gmail.com,47.52307807875837,19.036165414322124,584,211000,4,0.3829302785407685,511
ilonatorok@kovacs.org,47.55030780049158,19.03389003105843,449,324000,2,0.6344602238760959,1004
budaiantal@gmail.com,47.53691547409522,19.027215824638304,623,175000,0,0.5563456741457251,511
upinter@hotmail.com,47.5568322384193,19.029658499524583,588,369000,1,0.3948206331522374,887
lbalogh@kelemen.info,47.55672284458701,19.026434732154932,811,179000,4,0.3825264232675937,491
davidszabi@szabi.hu,47.52276386224696,19.033738548648525,460,243000,2,0.4563046474989243,872
diratith@nagy.org,47.552656238085035,19.032275897088986,454,206000,1,0.5712161178895808,299
knemeth@kiraly.net,47.534872274467844,19.02782673462266,575,373000,4,0.6346502587969781,1026
htith@hotmail.com,47.5645742253115,19.019109802554556,540,266000,4,0.6149304615250477,773
zkiss@hotmail.com,47.54707542743207,19.02689411936567,465,276000,5,0.533180334663206,1056
horvathkrisztina@gmail.com,47.52470621450747,19.037554453231905,542,213000,1,0.6318847221167181,1047
kovacsferenc@gal.org,47.52711243598498,19.028111274684676,528,267000,0,0.46756929176258333,810
oszabi@kovacs.org,47.55240009211444,19.025887290247216,777,387000,1,0.49351771321139526,736
bpeter@hotmail.com,47.56107599857372,19.038056670979593,492,201000,2,0.522156147862313,286
zsolttith@nemeth.biz,47.54588796948483,19.016456799443965,682,220000,6,0.48375548068355045,123
attila26@hotmail.com,47.56223576418733,19.02406251995748,720,396000,3,0.35856132068555047,591
lajoslakatos@yahoo.com,47.52382543821289,19.024920317831963,508,310000,3,0.575876525480916,1018
horvathjizsef@yahoo.com,47.557710111828136,19.02430926139761,409,398000,3,0.51533016252913,1026
tiborsarkozi@gmail.com,47.55542574896287,19.02083503151592,736,373000,4,0.5195891587980195,965
csimon@bodnar.hu,47.51873168356525,19.029208008084094,524,288000,2,0.5118740784269971,510
ilona81@nagy.hu,47.55127956918818,19.035929351684466,791,207000,4,0.4370569670941984,366
bogdanaranka@horvath.hu,47.550493146628135,19.03004656528949,793,295000,3,0.4748582855703877,775
janoskovacs@hotmail.com,47.55039104303749,19.03236197203461,568,355000,3,0.5050202985114419,430
reka68@katona.org,47.538841945667514,19.020135095215583,673,363000,1,0.42857698799364796,472
szabiistvan@jakab.info,47.54070847170005,19.02724251821518,411,186000,5,0.5103982430171273,906
piroska59@gmail.com,47.51593849134565,19.024739236771527,781,286000,4,0.3560075994364642,964
kovacstimea@yahoo.com,47.52371388776497,19.028677253835543,458,337000,3,0.39122557054698076,402
molnartibor@papp.com.hu,47.54278379503022,19.020976183128344,754,374000,2,0.5753336687913682,351
nbalog@gmail.com,47.538891747218294,19.031042744423424,479,317000,3,0.5081588177006298,1067
nagyrizsa@mate.com.hu,47.5304696983236,19.03260978577208,760,331000,2,0.4119671361427528,539
vargaaranka@tith.com,47.526095538476355,19.034452946470424,665,155000,4,0.4315748981699097,244
csaba45@kovacs.info,47.51938663307096,19.028643868269885,648,330000,5,0.5003294307873283,984
fodorerika@yahoo.com,47.56077217723935,19.025602680767896,371,214000,3,0.5228266757006161,249
reka70@horvath.hu,47.54205259060038,19.029579188863185,753,243000,5,0.5453732916926975,659
etorok@kocsis.com,47.55761877448078,19.020485330911843,455,360000,6,0.5878908786722812,638
tithistvan@yahoo.com,47.54180976384701,19.033340408122676,681,278000,4,0.4669105240779144,867
rebekatakacs@hotmail.com,47.52015861665668,19.02861685096835,506,328000,6,0.4196632144223611,476
zsolt84@yahoo.com,47.54952561934009,19.033612143404234,691,220000,0,0.6245042270046923,583
mihalynagy@kocsis.hu,47.52218285369173,19.017513608350427,396,350000,3,0.4113426824924698,689
melindamolnar@orsis.com,47.52325538720144,19.03315141311063,591,250000,2,0.5791024968702883,618
molnardaniel@pasztor.hu,47.54807783159262,19.033360469510534,843,165000,6,0.41708474164720366,789
ckelemen@yahoo.com,47.54831262403971,19.03460933680529,733,282000,5,0.4131261023619518,135
erzsebetnagy@varga.net,47.54091086788206,19.025596771954937,687,381000,3,0.3839281581083193,406
kristiffekete@hotmail.com,47.55955416640501,19.026897323734087,443,248000,0,0.35882747456031994,1017
marton97@hotmail.com,47.53428670438838,19.018091961877882,835,277000,4,0.3815967253360622,378
mtakacs@yahoo.com,47.53713885302105,19.025402907292772,612,299000,5,0.4982157557501473,979
tereziavarga@yahoo.com,47.54161876717444,19.027752858901138,728,214000,6,0.3789170649053306,1083
tamas99@gmail.com,47.528039897294164,19.026546357625467,820,387000,6,0.4491791128942153,114
kristifantal@fulop.org,47.54604892808427,19.027291874241,360,156000,1,0.5688558965193312,280
cnagy@gmail.com,47.556359102330056,19.03044735867844,628,221000,4,0.36021938864824143,1035
szabiimre@farkas.net,47.549739407507346,19.018478353053197,493,362000,1,0.5234166223466584,714
bboros@hotmail.com,47.55513881405253,19.028175712504765,376,316000,0,0.40924892106087246,550
jizsefnagy@nemeth.org,47.547217975427735,19.021879407940986,416,342000,4,0.4724226464702582,140
laszliszabi@bodnar.biz,47.55005338809579,19.032951873284222,366,377000,5,0.64023357876206,1042
attilatith@hotmail.com,47.56158447207543,19.02162978861561,625,361000,4,0.3552945634490249,514
kocsiserika@yahoo.com,47.52481978078761,19.03257731034386,449,348000,4,0.6272158340329536,840
khorvath@vincze.hu,47.54809597548367,19.027994880581275,518,187000,5,0.5668012387529889,752
mariameszaros@kiss.com,47.5326399187703,19.025056062342625,607,353000,3,0.4908150022917419,618
ilakatos@gmail.com,47.52536791907068,19.01770494383664,405,213000,0,0.38295410726444523,172
molnarpeter@gmail.com,47.52060113633313,19.022375712195068,737,207000,2,0.41326917666294616,139
nemethkaroly@hotmail.com,47.53233567566792,19.017674416921235,785,391000,6,0.6191960131768919,759
zpinter@hotmail.com,47.54858730900421,19.017789605985634,392,185000,6,0.5694929336463644,1013
dianajuhasz@hotmail.com,47.5342810246013,19.033324066077054,470,180000,1,0.40859240622173004,617
rozalia90@kiraly.biz,47.54579160594213,19.026136356083033,809,320000,1,0.578009378100043,251
orbanmagdolna@hotmail.com,47.530628678138925,19.025830298532245,530,289000,3,0.5205570449728782,267
horvathilona@hotmail.com,47.53427366892154,19.023232887830357,751,296000,4,0.540124861272518,956
kingakovacs@balazs.com.hu,47.55939818962961,19.01894335578635,588,188000,1,0.5429413617689843,361
nagyzsombor@tith.org,47.55491235471535,19.038038995375704,798,200000,0,0.47592744996288705,1098
bkovacs@varga.org,47.53348734746127,19.016376988600655,392,199000,0,0.4224016356592743,508
roland01@gal.com,47.554070364437095,19.037777661162327,746,376000,2,0.5256219104917313,687
ferenctamas@gmail.com,47.544887783660975,19.017740104468096,707,236000,4,0.5261076984134472,109
baloghsandor@szabi.com,47.5500681170927,19.028804549993072,501,353000,2,0.6471758351614956,824
esztertith@fodor.com,47.52668982758062,19.037628513148785,365,383000,0,0.370277045129395,772
gabor54@kelemen.net,47.55827645813567,19.035649271504386,616,237000,3,0.3710715869168829,465
molnarandras@kovacs.com.hu,47.553377580772064,19.02360402910123,446,268000,1,0.5378984384348278,836
imre05@tith.biz,47.56525488425248,19.03132610015256,839,239000,1,0.4006460515422867,417
bernadettfarkas@kovacs.org,47.53132873789458,19.02093656705522,576,354000,3,0.573687070417857,860
ferenckis@hotmail.com,47.53578477592929,19.032129917562752,683,321000,0,0.4422776409798476,881
farkaslaura@hotmail.com,47.515718210579145,19.033948590657463,589,270000,4,0.5565562826839014,593
bhegedus@hotmail.com,47.5269031510651,19.019098803234588,375,154000,0,0.48967425684403887,337
lmeszaros@hotmail.com,47.55405635137799,19.018275332822824,489,263000,2,0.41786786525550806,1097
bmarton@yahoo.com,47.552559519739994,19.03606849997016,372,293000,3,0.4204796019659011,990
noel56@jakab.net,47.556836272555685,19.0277235262667,498,176000,2,0.48126071805278225,260
ynemeth@szilagyi.info,47.53798481303826,19.01986698026825,721,254000,0,0.4484307580625912,794
irenkovacs@gmail.com,47.54211743936284,19.027895246650704,830,383000,4,0.5498930171957783,376
ilona68@yahoo.com,47.51902227186021,19.02491654905149,490,300000,6,0.5145512317396739,102
jizsef23@hotmail.com,47.52058902341149,19.03780006178425,688,387000,5,0.4806617243260498,575
janospapp@tith.org,47.54802746168719,19.027060652791068,800,246000,5,0.4059607541948263,387
ynagy@hotmail.com,47.54553485554113,19.02289014804291,453,390000,2,0.4593562707190754,838
fpapp@nagy.com,47.55576369593181,19.030945337299833,565,224000,3,0.3673094387049007,910
minika55@hotmail.com,47.5424418703979,19.02649733079218,792,359000,2,0.3918592322223695,774
erikakovacs@kiraly.biz,47.51770800616649,19.025821561602026,733,255000,4,0.5541412848426909,880
gabriellaszilagyi@gmail.com,47.56242312173789,19.021711252413635,527,390000,4,0.4189208688702429,941
kalman15@gmail.com,47.5389879443876,19.027964581621678,746,251000,1,0.4145992383232854,776
ilonajuhasz@hotmail.com,47.51952136205927,19.024985756613823,716,261000,4,0.4611819703083993,789
nagyimre@yahoo.com,47.5555843153909,19.021898532214568,634,263000,6,0.574200528637145,239
jorsis@gmail.com,47.557716535902735,19.030363896203873,652,182000,1,0.38588394496724865,735
erzsebet40@hotmail.com,47.5386221854277,19.02425134564416,432,249000,1,0.6147896759148592,924
evabogdan@yahoo.com,47.53503621488716,19.036206152715007,651,261000,3,0.41326754185239856,850
takacsjozsef@gmail.com,47.549888677354396,19.03099617950687,838,248000,1,0.6256016493555914,664
riza18@gmail.com,47.54325864262056,19.031632394177755,824,283000,4,0.5784740099464759,365
zhorvath@hotmail.com,47.564872512695345,19.02414123090408,693,168000,2,0.4081117701555683,931
marton10@gulyas.info,47.54545611271639,19.035241453555876,658,278000,2,0.5310530570495927,387
ribert33@hotmail.com,47.56464805088631,19.028747019159102,619,320000,2,0.5856599052669758,81
erika42@szilagyi.org,47.55637579798645,19.022666080426266,846,297000,4,0.47664057497671664,171
szabizsolt@yahoo.com,47.54820796698389,19.033043466602667,418,331000,2,0.38621202577643077,242
farkasbalint@horvath.com.hu,47.533408624106926,19.02577787602387,417,186000,5,0.4471548545498061,552
balazsszabi@gmail.com,47.52153398366648,19.02959211523699,454,211000,2,0.6355953359056821,514
sszabi@szalai.com.hu,47.56093692100365,19.028497616405446,839,284000,5,0.4897711855529011,985
gergelynagy@barna.org,47.543801555214856,19.02287059392088,494,303000,0,0.4436018270911919,363
maria23@yahoo.com,47.55186728454131,19.03009584186084,376,167000,0,0.5547963955174311,98
szabitimea@horvath.info,47.51657714137423,19.026857621710512,702,329000,4,0.581422660466985,474
tithjeno@deak.com.hu,47.562788579508656,19.0311101460461,540,236000,3,0.363385194346785,1096
viragkiss@molnar.info,47.52714120839611,19.017680107855703,762,287000,6,0.6193373532517854,722
evahajdu@peter.biz,47.566141607692145,19.03054549363547,470,264000,2,0.5130026038839863,387
cracz@hotmail.com,47.53601144212305,19.035463879325068,391,374000,2,0.5799182679233171,171
siposerzsebet@barta.biz,47.52361429351387,19.020602741965497,785,167000,0,0.59270686931655,908
okovacs@gmail.com,47.5252558104435,19.029825077199604,774,359000,2,0.6111202480535434,371
erzsebet99@yahoo.com,47.52261365119095,19.03013763123871,459,158000,1,0.5171386248192441,791
horvathtibor@hotmail.com,47.54869207963092,19.026852873966003,817,171000,2,0.5828526720990332,883
meszarosjizsef@tith.net,47.56612879841956,19.030250385196904,555,224000,6,0.5323244792392021,615
jmolnar@nagy.net,47.558257678644836,19.02147132804227,439,351000,2,0.4177628702758638,118
nagykatalin@orban.biz,47.55076838862307,19.018852579089653,551,315000,0,0.5985634934925483,657
horvathmartin@szabi.biz,47.55124775266393,19.031228152720278,763,387000,2,0.584750301944166,138
lukacsnikoletta@szekeres.hu,47.53738793717855,19.023757853821845,583,320000,1,0.6235443947879205,340
bgaspar@yahoo.com,47.530440891192946,19.0353329915782,605,200000,4,0.5839014535197073,872
anett77@yahoo.com,47.5614637644111,19.021925621086915,573,245000,1,0.64571721872522,1083
terezia08@hotmail.com,47.563057230110424,19.018449920090312,816,267000,1,0.37491406222946494,1003
laszli87@hotmail.com,47.56041391177616,19.0313412744023,629,220000,1,0.3937094940820656,705
laszlikovacs@sois.hu,47.5323853587931,19.021778589388795,719,305000,1,0.36418541179650343,432
gnemeth@szalai.hu,47.52143509961752,19.02026508589129,388,262000,6,0.4388661122898392,949
papannamaria@bogdan.com.hu,47.5279108108636,19.020642586730453,505,255000,6,0.5088816399700968,758
margit62@gmail.com,47.56395457013134,19.03222489789446,696,397000,3,0.6430035955316287,761
andrasnagy@gmail.com,47.53296607088859,19.03320102996603,496,175000,2,0.5793952396468919,555
farkasistvan@horvath.com,47.53050141505444,19.016837690691002,382,220000,2,0.529590070944449,1018
ildikiolah@katona.biz,47.516125065414556,19.037477518048405,429,322000,3,0.6171335919155976,237
daniel75@gmail.com,47.52541352339543,19.024008120864046,416,169000,1,0.5942195600876466,307
balazsszabolcs@balogh.info,47.54209473235585,19.024087134912023,367,381000,3,0.4408844002846257,610
agneskelemen@gmail.com,47.53942390426647,19.016468587848593,395,167000,5,0.47277734051122283,217
zbudai@varga.com,47.51701191281054,19.02545084096799,490,271000,6,0.5227103082275829,620
beatrix49@gmail.com,47.518806496968374,19.028363716396512,708,253000,5,0.5715688366017679,111
sandorkovacs@gmail.com,47.54961054855878,19.02602482694175,447,313000,2,0.39832556379996564,90
asimon@hotmail.com,47.555518901399374,19.03644270065174,350,262000,1,0.6194970616574709,242
erzsebet51@gmail.com,47.56295444015123,19.028946805342517,564,283000,2,0.5325720608742024,664
laszlivarga@varga.info,47.558613887450335,19.017994427455374,514,379000,4,0.4626625320433472,212
faragizsuzsanna@yahoo.com,47.56400394168013,19.023139882595753,809,281000,3,0.5832340147734265,908
rfarkas@kiss.net,47.56427887151736,19.029469645555096,579,228000,5,0.5613942791271057,365
jizsef46@gmail.com,47.5564744912394,19.03347477657802,652,243000,0,0.6453509387132239,482
ferenc28@molnar.hu,47.56591361927324,19.038104137239245,786,245000,6,0.45642490053598905,140
qtith@kocsis.biz,47.54086209568699,19.030238262322182,626,379000,1,0.6042357987351321,746
veronikahorvath@horvath.info,47.51805430648518,19.019989308709015,758,276000,0,0.3619283028647882,827
maria30@bogdan.hu,47.557533196947546,19.03406568438216,506,322000,4,0.5149657049184477,355
agnes16@hotmail.com,47.54469133807157,19.020137177890025,797,373000,6,0.3974747879177428,495
sarkoziadrienn@yahoo.com,47.53862112156702,19.02257755659333,474,174000,2,0.577037674964096,421
vassmargit@kovacs.net,47.536363672110696,19.02523359599343,844,370000,3,0.37458985163886654,1093
istvan49@sandor.biz,47.5236960506241,19.034481297409318,806,395000,2,0.5232182276006052,867
kissgabriella@nagy.com.hu,47.54137644951765,19.0308062929954,682,247000,4,0.516656387504072,755
vargaistvan@balazs.net,47.519994915572674,19.021597763072652,450,246000,1,0.500592716277665,491
gabriellavarga@szekely.org,47.55398054871255,19.021670533509408,504,390000,1,0.5294657112490199,808
hszucs@olah.net,47.54567377494138,19.029063174687398,353,283000,6,0.394717029942279,201
marialakatos@hotmail.com,47.54473217943397,19.030844987859783,562,399000,1,0.4616132941803324,958
xpataki@hotmail.com,47.52577733951735,19.02846122107326,666,349000,2,0.4534639563571536,133
balazs45@hotmail.com,47.546621977086,19.016647553747923,451,244000,2,0.4232386660294283,407
jakablaszli@nemeth.hu,47.55658752647564,19.029693308531645,836,311000,0,0.4940722695646465,341
kkovacs@szabi.com.hu,47.521413713020124,19.027719041406275,386,249000,0,0.41595823640908114,640
vszabi@yahoo.com,47.516044282360504,19.037177174352244,429,313000,1,0.5210015285604306,982
erzsebet88@gmail.com,47.52056117851968,19.024681543535994,554,350000,6,0.6083024601811877,578
balazsmolnar@varga.hu,47.563048741470254,19.02998346603112,558,207000,1,0.5382065956997019,1025
ferenc56@kovacs.org,47.536341513708855,19.03001636042528,739,173000,0,0.5147000467572478,199
mnagy@gmail.com,47.51922687538968,19.024156678483276,622,292000,2,0.5843672007386314,303
erzsebethalasz@molnar.com,47.524063708481485,19.02325198341818,835,259000,0,0.4995356207739338,658
kovacsbeatrix@gmail.com,47.521019428147504,19.02180985946092,652,228000,6,0.4139987698852582,281
